Analyzing gantt_view_model.dart...                              

  error • Undefined name '_totalEndDate' • lib/view_models/gantt_view_model.dart:2823:7 • undefined_identifier
  error • Undefined name '_startDate' • lib/view_models/gantt_view_model.dart:2823:23 • undefined_identifier
  error • Undefined name '_range' • lib/view_models/gantt_view_model.dart:2823:53 • undefined_identifier
  error • Undefined name '_visibleStartDate' • lib/view_models/gantt_view_model.dart:2829:9 • undefined_identifier
  error • Undefined name '_visibleEndDate' • lib/view_models/gantt_view_model.dart:2829:38 • undefined_identifier
  error • The function '_setInitialVisibleWindow' isn't defined • lib/view_models/gantt_view_model.dart:2829:63 • undefined_function
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2831:5 • undefined_function
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2842:28 • undefined_identifier
  error • Undefined name 'ganttTasks' • lib/view_models/gantt_view_model.dart:2848:12 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2868:10 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2871:11 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2872:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2884:11 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2885:9 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2885:78 • undefined_function
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2889:9 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2889:35 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2890:9 • undefined_function
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2897:7 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2901:26 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2902:21 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2906:11 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2907:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2918:11 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2919:9 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2921:26 • undefined_function
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2924:9 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2925:9 • undefined_function
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2932:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2933:7 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2941:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2942:7 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2942:71 • undefined_function
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2944:28 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2946:11 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2949:9 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2950:9 • undefined_function
  error • The body might complete normally, causing 'null' to be returned, but the return type, 'String Function(DateTime)', is a potentially non-nullable type • lib/view_models/gantt_view_model.dart:2956:29 • body_might_complete_normally
  error • Undefined name '_selectedAxisFormat' • lib/view_models/gantt_view_model.dart:2957:13 • undefined_identifier
  error • Undefined name '_selectedLocale' • lib/view_models/gantt_view_model.dart:2959:41 • undefined_identifier
  error • Undefined name '_selectedLocale' • lib/view_models/gantt_view_model.dart:2961:41 • undefined_identifier
  error • Undefined name '_selectedLocale' • lib/view_models/gantt_view_model.dart:2963:42 • undefined_identifier
  error • Undefined name '_selectedLocale' • lib/view_models/gantt_view_model.dart:2965:42 • undefined_identifier
  error • Undefined name '_selectedLocale' • lib/view_models/gantt_view_model.dart:2967:39 • undefined_identifier
  error • Undefined name '_selectedLocale' • lib/view_models/gantt_view_model.dart:2969:41 • undefined_identifier
  error • Expected a method, getter, setter or operator declaration • lib/view_models/gantt_view_model.dart:2972:1 • expected_executable

